year,month,day,extended_event,country,region,province_state,city,vicinity_area,criteria_political,criteria_economic,criteria_religious,multiple_attacks,successful_attack,suicide_attack,primary_attack_type,primary_target_type,primary_target_subtype,target_nationality,secondary_target_type,group_name,individual_attack,attack_claimed,claim_mode,primary_weapon_type,secondary_weapon_type,secondary_weapon_subtype,num_killed,num_killed_us,num_killed_terrorists,num_wounded,num_wounded_us,num_wounded_terrorists,property_damage,property_extent_code,property_extent,property_value,hostage_incident,ransom_demanded,hostage_outcome_code,hostage_outcome,num_released,month_name
1970,3,14,0,Egypt,Middle East & North Africa,Alexandria,Alexandria,0,1,1,1,0.0,1,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,March
1971,11,28,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (General),Head of State,Egypt,Unknown,Black September,0,0.0,Unknown,Firearms,Firearms,Handgun,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,November
1972,2,19,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Hijacking,Airports & Aircraft,Aircraft (not at an airport),Jordan,Unknown,Jordanian National Liberation Movement,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,1.0,0.0,5.0,Successful Rescue,0.0,February
1977,12,5,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Journalists & Media,Newspaper Journalist/Staff/Facility,Great Britain,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,December
1978,9,30,0,Egypt,Middle East & North Africa,North Sinai,Yamit,1,1,1,1,0.0,1,0,Bombing/Explosion,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",Israel,Unknown,Palestinians,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
1978,10,1,0,Egypt,Middle East & North Africa,North Sinai,Unknown,0,1,1,0,0.0,1,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Israel,Unknown,Palestinians,0,0.0,Unknown,Firearms,Explosives,Unknown Explosive Type,2.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Major (likely >= $1 million but < $1 billion),1000000.0,1.0,0.0,Unknown,Unknown,0.0,October
1979,4,19,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,Egypt,Unknown,Eagles of the Palestinian Revolution,0,0.0,Unknown,Explosives,Unknown,Unknown,1.0,0.0,0.0,4.0,0.0,0.0,1,4.0,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1980,1,6,0,Egypt,Middle East & North Africa,Alexandria,Alexandria,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,8.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,January
1980,1,6,0,Egypt,Middle East & North Africa,Alexandria,Alexandria,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,January
1980,4,30,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
